"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019-1-2","375.75","375.25","377.75","374.00","104.72K","0.20%"
"2019-1-3","379.75","375.50","380.50","374.75","101.46K","1.06%"
"2019-1-4","383.00","380.00","383.50","379.75","178.17K","0.86%"
"2019-1-7","382.25","382.25","384.00","381.75","110.62K","-0.20%"
"2019-1-8","380.00","382.50","384.50","379.00","172.29K","-0.59%"
"2019-1-9","382.00","380.50","383.50","380.50","192.06K","0.53%"
"2019-1-10","376.25","381.50","382.75","376.00","181.39K","-1.51%"
"2019-1-11","378.25","377.00","379.25","376.75","131.82K","0.53%"
"2019-1-14","378.50","378.50","381.00","377.00","144.74K","0.07%"
"2019-1-15","371.25","379.50","381.00","371.00","251.26K","-1.92%"
"2019-1-16","374.00","372.75","375.00","372.50","164.72K","0.74%"
"2019-1-17","380.00","374.00","381.50","373.75","207.63K","1.60%"
"2019-1-18","381.75","379.75","383.00","377.75","191.03K","0.46%"
"2019-1-22","379.00","380.75","382.25","376.75","211.43K","-0.72%"
"2019-1-23","378.75","379.50","381.75","378.00","127.61K","-0.07%"
"2019-1-24","377.00","378.75","379.75","375.75","124.11K","-0.46%"
"2019-1-25","380.25","377.00","380.50","376.00","134.09K","0.86%"
"2019-1-28","379.75","379.50","381.00","378.00","102.14K","-0.13%"
"2019-1-29","377.25","379.75","380.75","376.00","187.02K","-0.66%"
"2019-1-30","381.25","377.75","381.50","377.50","198.90K","1.06%"
"2019-1-31","376.50","381.00","381.50","375.75","205.75K","-1.25%"
"2019-2-1","378.25","376.50","380.75","376.50","151.47K","0.46%"
"2019-2-4","379.25","377.75","379.75","376.50","145.83K","0.26%"
"2019-2-5","380.75","379.50","381.25","377.00","171.95K","0.40%"
"2019-2-6","380.00","380.50","380.75","379.00","145.15K","-0.20%"
"2019-2-7","376.50","379.75","380.25","376.25","259.74K","-0.92%"
"2019-2-8","374.25","376.50","381.75","374.00","340.78K","-0.60%"
"2019-2-11","372.75","374.50","375.00","371.75","309.36K","-0.40%"
"2019-2-12","378.25","373.50","378.75","373.00","291.26K","1.48%"
"2019-2-13","378.75","377.50","379.00","376.25","243.88K","0.13%"
"2019-2-14","374.75","378.75","379.00","374.00","225.29K","-1.06%"
"2019-2-15","374.75","374.75","376.50","373.00","209.10K","0.00%"
"2019-2-19","369.75","374.25","376.25","369.00","230.71K","-1.33%"
"2019-2-20","370.75","371.50","373.50","368.50","310.67K","0.27%"
"2019-2-21","375.50","371.00","378.50","370.50","257.19K","1.28%"
"2019-2-22","375.25","374.75","377.75","374.50","316.66K","-0.07%"
"2019-2-25","370.50","377.75","378.50","370.00","344.71K","-1.27%"
"2019-2-26","366.25","370.75","371.25","365.50","242.77K","-1.15%"
"2019-2-27","363.75","366.00","368.25","362.50","189.22K","-0.68%"
"2019-2-28","362.00","363.75","364.75","361.25","23.51K","-0.48%"
"2019-3-1","364.00","361.75","364.00","357.50","12.36K","0.55%"
"2019-3-4","365.00","365.25","368.00","364.50","5.27K","0.27%"
"2019-3-5","366.00","366.00","367.25","364.50","4.57K","0.27%"
"2019-3-6","362.50","366.00","366.00","361.00","2.92K","-0.96%"
"2019-3-7","356.00","362.25","362.25","355.75","2.48K","-1.79%"
"2019-3-8","354.75","357.75","358.25","354.00","2.27K","-0.35%"
"2019-3-11","352.50","357.50","357.50","353.00","1.75K","-0.63%"
"2019-3-12","356.50","353.25","357.75","352.75","0.80K","1.13%"
"2019-3-13","357.25","357.25","359.50","355.00","0.32K","0.21%"
"2019-3-14","361.50","360.25","363.25","360.00","0.39K","1.19%"
"2019-3-15","373.25","369.25","373.75","369.00","197.27K","3.25%"
"2019-3-18","371.50","374.00","375.50","370.25","169.24K","-0.47%"
"2019-3-19","371.25","372.00","373.75","367.75","159.38K","-0.07%"
"2019-3-20","371.50","371.50","372.50","368.75","101.48K","0.07%"
"2019-3-21","376.25","371.00","377.50","370.50","220.23K","1.28%"
"2019-3-22","378.25","375.75","380.75","375.50","222.58K","0.53%"
"2019-3-25","379.75","378.75","380.75","376.75","155.85K","0.40%"
"2019-3-26","377.25","379.25","380.50","375.50","165.18K","-0.66%"
"2019-3-27","373.75","376.75","377.00","372.00","127.92K","-0.93%"
"2019-3-28","374.00","373.75","374.75","372.00","105.83K","0.07%"
"2019-3-29","356.50","373.75","375.00","356.00","441.01K","-4.68%"
"2019-4-1","361.75","356.50","363.00","356.50","239.35K","1.47%"
"2019-4-2","361.50","362.25","363.50","359.25","117.19K","-0.07%"
"2019-4-3","362.75","361.25","364.75","360.50","135.85K","0.35%"
"2019-4-4","365.25","362.75","366.25","362.75","159.33K","0.69%"
"2019-4-5","362.50","364.50","364.75","360.50","273.06K","-0.75%"
"2019-4-8","360.00","362.25","363.50","359.50","269.56K","-0.69%"
"2019-4-9","360.00","359.75","362.25","355.25","275.45K","0.00%"
"2019-4-10","361.75","360.25","362.75","360.00","253.30K","0.49%"
"2019-4-11","360.00","361.25","363.00","358.50","264.73K","-0.48%"
"2019-4-12","361.00","360.25","361.50","358.50","95.87K","0.28%"
