"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019-1-2","96.42","95.69","96.56","95.38","32.14K","0.72%"
"2019-1-3","95.88","96.35","96.37","95.78","31.52K","-0.57%"
"2019-1-4","95.75","95.79","96.20","95.61","29.01K","-0.13%"
"2019-1-6","95.69","95.71","95.71","95.67","0.23K","-0.06%"
"2019-1-7","95.23","95.71","95.73","95.19","23.36K","-0.48%"
"2019-1-8","95.48","95.29","95.61","95.28","17.14K","0.26%"
"2019-1-9","94.79","95.39","95.51","94.64","29.00K","-0.72%"
"2019-1-10","95.12","94.73","95.21","94.64","22.32K","0.35%"
"2019-1-11","95.27","95.07","95.36","94.78","21.03K","0.15%"
"2019-1-13","95.29","95.23","95.29","95.23","0.13K","0.03%"
"2019-1-14","95.21","95.22","95.32","95.08","16.31K","-0.09%"
"2019-1-15","95.68","95.15","95.89","95.07","28.67K","0.49%"
"2019-1-16","95.68","95.55","95.79","95.48","14.45K","0.00%"
"2019-1-17","95.71","95.71","95.93","95.63","17.60K","0.04%"
"2019-1-18","95.99","95.72","96.05","95.67","15.84K","0.29%"
"2019-1-20","96.03","95.99","96.03","95.99","0.02K","0.04%"
"2019-1-21","95.99","96.00","96.10","95.86","4.88K","-0.04%"
"2019-1-22","95.96","96.00","96.15","95.87","10.68K","-0.04%"
"2019-1-23","95.77","95.96","96.04","95.71","15.63K","-0.19%"
"2019-1-24","96.30","95.74","96.38","95.71","33.92K","0.55%"
"2019-1-25","95.46","96.20","96.24","95.40","30.60K","-0.86%"
"2019-1-27","95.44","95.45","95.47","95.44","0.16K","-0.02%"
"2019-1-28","95.42","95.45","95.60","95.32","11.82K","-0.02%"
"2019-1-29","95.52","95.43","95.56","95.31","14.84K","0.10%"
"2019-1-30","95.03","95.49","95.69","94.94","22.68K","-0.51%"
"2019-1-31","95.30","95.07","95.35","94.88","23.62K","0.29%"
"2019-2-1","95.30","95.29","95.40","95.11","15.82K","0.00%"
"2019-2-3","95.33","95.31","95.35","95.31","0.04K","0.04%"
"2019-2-4","95.57","95.31","95.65","95.31","11.86K","0.25%"
"2019-2-5","95.82","95.58","95.86","95.54","18.45K","0.26%"
"2019-2-6","96.15","95.82","96.18","95.79","13.76K","0.35%"
"2019-2-7","96.29","96.15","96.46","96.15","15.63K","0.14%"
"2019-2-8","96.42","96.33","96.49","96.24","12.45K","0.13%"
"2019-2-10","96.43","96.44","96.46","96.43","0.09K","0.01%"
"2019-2-11","96.86","96.43","96.92","96.41","17.68K","0.44%"
"2019-2-12","96.50","96.87","97.00","96.44","18.52K","-0.37%"
"2019-2-13","96.94","96.53","97.00","96.44","18.22K","0.45%"
"2019-2-14","96.81","97.00","97.12","96.77","24.00K","-0.14%"
"2019-2-15","96.74","96.87","97.23","96.66","18.43K","-0.07%"
"2019-2-17","96.75","96.74","96.75","96.73","0.07K","0.01%"
"2019-2-18","96.74","96.77","96.77","96.49","6.77K","-0.01%"
"2019-2-19","96.35","96.67","96.93","96.25","21.43K","-0.40%"
"2019-2-20","96.29","96.33","96.50","96.12","19.01K","-0.06%"
"2019-2-21","96.46","96.36","96.54","96.21","18.04K","0.18%"
"2019-2-22","96.37","96.46","96.65","96.28","13.03K","-0.10%"
"2019-2-24","96.35","96.38","96.39","96.35","0.13K","-0.02%"
"2019-2-25","96.27","96.38","96.47","96.18","13.01K","-0.08%"
"2019-2-26","95.86","96.25","96.35","95.81","19.18K","-0.42%"
"2019-2-27","96.04","95.92","96.07","95.75","14.21K","0.18%"
"2019-2-28","96.04","96.00","96.19","95.71","22.31K","0.00%"
"2019-3-1","96.45","96.17","96.47","95.96","30.25K","0.42%"
"2019-3-3","96.29","96.29","96.30","96.25","0.21K","-0.16%"
"2019-3-4","96.61","96.29","96.75","96.25","16.21K","0.33%"
"2019-3-5","96.79","96.61","96.95","96.58","14.58K","0.19%"
"2019-3-6","96.80","96.83","96.94","96.71","14.73K","0.00%"
"2019-3-7","97.63","96.79","97.67","96.76","27.95K","0.86%"
"2019-3-8","97.27","97.55","97.60","97.18","25.41K","-0.37%"
"2019-3-10","97.35","97.32","97.38","97.31","0.08K","0.08%"
"2019-3-11","97.17","97.35","97.41","97.11","17.09K","-0.18%"
"2019-3-12","96.90","97.00","97.25","96.80","26.30K","-0.28%"
"2019-3-13","96.51","96.97","96.99","96.35","31.34K","-0.40%"
"2019-3-14","96.77","96.48","96.81","96.47","17.75K","0.27%"
"2019-3-15","96.59","96.72","96.78","96.47","6.94K","-0.18%"
"2019-3-17","96.04","95.99","96.04","95.99","0.12K","-0.56%"
"2019-3-18","96.52","96.54","96.54","96.39","0.03K","0.49%"
"2019-3-19","95.83","95.97","95.97","95.73","9.63K","-0.71%"
"2019-3-20","95.20","95.84","96.03","95.17","25.78K","-0.66%"
"2019-3-21","95.99","95.38","96.13","95.29","28.79K","0.83%"
"2019-3-22","96.15","95.84","96.29","95.69","20.72K","0.17%"
"2019-3-24","96.14","96.14","96.15","96.11","0.15K","-0.01%"
"2019-3-25","96.07","96.14","96.19","95.89","11.69K","-0.07%"
"2019-3-26","96.22","95.99","96.33","95.94","10.86K","0.16%"
"2019-3-27","96.28","96.25","96.49","96.19","11.34K","0.06%"
"2019-3-28","96.76","96.49","96.86","96.36","20.79K","0.50%"
"2019-3-29","96.85","96.76","96.91","96.57","15.90K","0.08%"
"2019-3-31","96.80","96.79","96.82","96.78","0.39K","-0.05%"
"2019-4-1","96.80","96.79","96.87","96.58","14.05K","0.00%"
"2019-4-2","96.92","96.89","97.10","96.82","14.00K","0.13%"
"2019-4-3","96.66","96.89","96.89","96.53","12.58K","-0.27%"
"2019-4-4","96.93","96.62","96.94","96.61","16.28K","0.27%"
"2019-4-5","97.00","96.92","97.07","96.70","10.23K","0.08%"
"2019-4-7","97.00","97.00","97.01","96.97","0.08K","-0.01%"
"2019-4-8","96.65","97.00","97.02","96.57","12.36K","-0.36%"
"2019-4-9","96.61","96.68","96.70","96.46","9.46K","-0.04%"
"2019-4-10","96.56","96.60","96.84","96.40","13.60K","-0.05%"
"2019-4-11","96.81","96.53","96.86","96.50","10.06K","0.26%"
"2019-4-12","96.60","96.80","96.82","96.36","16.01K","-0.22%"
"2019-4-14","96.56","96.56","96.56","96.53","0.12K","-0.04%"
"2019-4-15","96.56","96.58","96.58","96.40","9.89K","0.00%"
"2019-4-16","96.65","96.54","96.73","96.50","14.63K","0.10%"
"2019-4-17","96.66","96.73","96.79","96.46","10.50K","0.01%"
"2019-4-18","97.15","96.69","97.29","96.62","16.76K","0.51%"
"2019-4-21","97.04","97.08","97.10","97.04","0.34K","-0.11%"
"2019-4-22","96.96","97.08","97.10","96.92","6.23K","-0.09%"
"2019-4-23","97.32","96.97","97.46","96.96","12.19K","0.38%"
"2019-4-24","97.86","97.26","97.88","97.26","20.00K","0.55%"
"2019-4-25","97.92","97.80","98.06","97.71","16.65K","0.07%"
"2019-4-26","97.73","97.88","98.08","97.56","14.69K","-0.20%"
"2019-4-28","97.77","97.75","97.79","97.75","0.23K","0.05%"
"2019-4-29","97.58","97.75","97.84","97.54","8.42K","-0.19%"
"2019-4-30","97.20","97.57","97.63","97.17","16.35K","-0.39%"
"2019-5-1","97.41","97.23","97.46","96.87","18.04K","0.22%"
"2019-5-2","97.59","97.36","97.60","97.25","14.40K","0.18%"
"2019-5-3","97.26","97.57","97.86","97.18","12.96K","-0.33%"
"2019-5-5","97.33","97.29","97.33","97.22","0.44K","0.07%"
"2019-5-6","97.27","97.33","97.46","97.22","9.24K","-0.06%"
"2019-5-7","97.40","97.29","97.51","97.14","17.16K","0.13%"
"2019-5-8","97.39","97.35","97.44","97.18","13.54K","-0.01%"
"2019-5-9","97.16","97.37","97.49","97.01","17.59K","-0.23%"
"2019-5-10","97.13","97.25","97.25","96.90","14.29K","-0.04%"
"2019-5-12","97.08","97.11","97.11","97.07","0.06K","-0.04%"
"2019-5-13","97.12","97.11","97.19","96.81","17.10K","0.04%"
"2019-5-14","97.32","97.11","97.36","97.07","9.00K","0.21%"
"2019-5-15","97.38","97.35","97.51","97.24","13.64K","0.06%"
"2019-5-16","97.68","97.36","97.71","97.26","12.12K","0.31%"
"2019-5-17","97.82","97.67","97.86","97.59","8.63K","0.15%"
"2019-5-19","97.81","97.85","97.85","97.78","0.35K","-0.01%"
"2019-5-20","97.76","97.85","97.88","97.72","7.31K","-0.05%"
"2019-5-21","97.90","97.79","97.97","97.64","14.85K","0.14%"
"2019-5-22","97.88","97.87","97.97","97.73","7.57K","-0.02%"
"2019-5-23","97.72","97.95","98.26","97.67","19.35K","-0.16%"
"2019-5-24","97.48","97.72","97.78","97.41","9.77K","-0.25%"
"2019-5-26","97.45","97.43","97.45","97.43","0.04K","-0.03%"
"2019-5-27","97.48","97.43","97.67","97.42","2.94K","0.03%"
"2019-5-28","97.84","97.61","97.86","97.57","13.14K","0.37%"
"2019-5-29","98.04","97.79","98.10","97.75","12.41K","0.20%"
"2019-5-30","98.05","98.04","98.19","98.00","7.34K","0.02%"
"2019-5-31","97.67","98.08","98.08","97.63","19.07K","-0.39%"
"2019-6-2","97.65","97.70","97.70","97.63","0.26K","-0.02%"
"2019-6-3","97.06","97.70","97.72","97.01","29.61K","-0.60%"
"2019-6-4","97.00","97.14","97.28","96.90","25.60K","-0.06%"
"2019-6-5","97.25","97.06","97.31","96.65","25.32K","0.26%"
"2019-6-6","97.00","97.26","97.39","96.72","27.67K","-0.26%"
"2019-6-7","96.49","96.96","97.13","96.40","29.82K","-0.52%"
"2019-6-9","96.65","96.57","96.68","96.57","0.42K","0.17%"
"2019-6-10","96.71","96.58","96.89","96.57","24.30K","0.06%"
"2019-6-11","96.64","96.70","96.86","96.61","19.95K","-0.07%"
"2019-6-12","96.97","96.67","96.99","96.54","24.48K","0.34%"
"2019-6-13","97.00","96.94","97.07","96.86","23.62K","0.03%"
"2019-6-14","97.57","97.01","97.58","96.94","20.79K","0.59%"
"2019-6-16","97.01","97.00","97.03","97.00","0.16K","-0.57%"
"2019-6-17","97.40","97.51","97.60","97.33","2.27K","0.40%"
"2019-6-18","97.15","97.02","97.26","96.89","23.57K","-0.25%"
"2019-6-19","96.58","97.17","97.21","96.51","29.41K","-0.59%"
"2019-6-20","96.14","96.69","96.71","96.04","25.96K","-0.46%"
"2019-6-21","95.72","96.14","96.24","95.64","30.65K","-0.44%"
"2019-6-23","95.61","95.68","95.70","95.61","0.50K","-0.12%"
"2019-6-24","95.49","95.67","95.71","95.46","22.61K","-0.12%"
"2019-6-25","95.65","95.50","95.88","95.36","24.24K","0.17%"
"2019-6-26","95.73","95.68","95.85","95.57","13.27K","0.08%"
"2019-6-27","95.74","95.71","95.92","95.67","10.59K","0.01%"
"2019-6-28","95.67","95.74","95.85","95.56","14.56K","-0.08%"
"2019-6-30","95.86","95.78","95.86","95.78","0.31K","0.20%"
"2019-7-1","96.41","95.78","96.43","95.78","21.29K","0.57%"
"2019-7-2","96.27","96.37","96.46","96.15","12.48K","-0.14%"
"2019-7-3","96.33","96.27","96.43","96.12","9.44K","0.06%"
"2019-7-4","96.33","96.29","96.39","96.24","3.03K","0.00%"
"2019-7-5","96.89","96.32","97.04","96.32","24.52K","0.58%"
"2019-7-7","96.83","96.84","96.86","96.82","0.18K","-0.06%"
"2019-7-8","96.98","96.84","97.02","96.76","10.67K","0.16%"
"2019-7-9","97.10","96.98","97.19","96.97","9.71K","0.11%"
"2019-7-10","96.70","97.15","97.17","96.64","17.93K","-0.40%"
"2019-7-11","96.67","96.68","96.78","96.42","15.62K","-0.04%"
"2019-7-12","96.42","96.74","96.74","96.40","10.29K","-0.25%"
"2019-7-14","96.44","96.45","96.46","96.40","0.23K","0.02%"
"2019-7-15","96.54","96.45","96.60","96.38","8.59K","0.11%"
"2019-7-16","97.04","96.57","97.08","96.54","21.86K","0.51%"
"2019-7-17","96.85","97.03","97.10","96.80","13.96K","-0.19%"
"2019-7-18","96.45","96.86","96.93","96.32","22.35K","-0.42%"
"2019-7-19","96.82","96.46","96.97","96.42","21.82K","0.38%"
"2019-7-21","96.83","96.79","96.84","96.79","0.04K","0.02%"
"2019-7-22","96.94","96.79","96.99","96.79","6.90K","0.11%"
"2019-7-23","97.42","97.00","97.46","96.99","22.83K","0.49%"
"2019-7-24","97.45","97.43","97.57","97.26","14.32K","0.03%"
"2019-7-25","97.55","97.42","97.65","97.22","24.77K","0.10%"
"2019-7-26","97.75","97.54","97.83","97.50","11.84K","0.20%"
"2019-7-28","97.73","97.76","97.77","97.71","0.12K","-0.02%"
"2019-7-29","97.80","97.72","97.90","97.64","9.31K","0.07%"
"2019-7-30","97.81","97.84","97.96","97.76","9.35K","0.01%"
"2019-7-31","98.26","97.81","98.44","97.75","27.89K","0.46%"
"2019-8-1","98.14","98.36","98.70","98.04","26.68K","-0.12%"
"2019-8-2","97.85","98.19","98.22","97.82","18.15K","-0.30%"
"2019-8-4","97.89","97.90","97.93","97.86","0.23K","0.03%"
"2019-8-5","97.31","97.90","97.93","97.19","26.78K","-0.59%"
