"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019-1-2","506.75","502.50","510.75","501.25","46.44K","0.70%"
"2019-1-3","513.75","506.75","516.00","506.00","48.80K","1.38%"
"2019-1-4","517.00","513.75","518.75","513.00","44.05K","0.63%"
"2019-1-7","516.75","518.00","518.50","513.50","41.55K","-0.05%"
"2019-1-8","517.75","516.50","524.50","513.75","71.73K","0.19%"
"2019-1-9","520.00","519.75","523.75","518.25","57.34K","0.43%"
"2019-1-10","513.75","519.50","520.25","512.00","59.32K","-1.20%"
"2019-1-11","519.50","513.75","523.75","512.75","73.29K","1.12%"
"2019-1-14","514.25","520.00","523.50","513.25","49.12K","-1.01%"
"2019-1-15","511.00","514.75","518.25","508.00","55.27K","-0.63%"
"2019-1-16","512.50","511.00","516.75","511.00","43.24K","0.29%"
"2019-1-17","517.75","511.50","522.50","509.00","65.57K","1.02%"
"2019-1-18","517.75","519.75","522.75","515.25","50.53K","0.00%"
"2019-1-22","521.25","518.00","526.00","514.25","75.78K","0.68%"
"2019-1-23","526.00","522.50","527.00","521.75","45.10K","0.91%"
"2019-1-24","521.50","527.00","529.00","521.00","50.94K","-0.86%"
"2019-1-25","520.00","520.50","523.00","516.75","51.10K","-0.29%"
"2019-1-28","518.75","520.75","523.50","516.00","44.01K","-0.24%"
"2019-1-29","513.25","517.75","522.00","510.75","77.73K","-1.06%"
"2019-1-30","516.75","513.25","518.00","511.75","46.57K","0.68%"
"2019-1-31","516.50","517.75","520.00","513.50","56.31K","-0.05%"
"2019-2-1","524.25","515.75","526.50","515.25","83.42K","1.50%"
"2019-2-4","525.75","524.75","529.00","521.25","74.71K","0.29%"
"2019-2-5","527.25","525.25","528.25","520.50","73.34K","0.29%"
"2019-2-6","526.00","527.00","531.25","524.25","73.14K","-0.24%"
"2019-2-7","513.25","525.25","525.25","512.50","112.35K","-2.42%"
"2019-2-8","517.25","514.75","522.25","513.50","112.34K","0.78%"
"2019-2-11","518.25","517.25","519.00","512.00","85.56K","0.19%"
"2019-2-12","520.00","518.50","520.75","514.50","82.84K","0.34%"
"2019-2-13","522.25","519.75","524.00","518.75","74.96K","0.43%"
"2019-2-14","507.00","521.50","522.50","506.00","103.16K","-2.92%"
"2019-2-15","504.25","507.75","508.75","499.25","79.76K","-0.54%"
"2019-2-19","489.75","502.50","505.25","488.50","74.21K","-2.88%"
"2019-2-20","480.75","490.00","493.50","475.75","78.09K","-1.84%"
"2019-2-21","486.50","480.50","491.50","480.25","49.59K","1.20%"
"2019-2-22","486.75","488.50","493.00","484.50","50.63K","0.05%"
"2019-2-25","466.75","489.75","490.00","466.25","45.91K","-4.11%"
"2019-2-26","460.25","467.00","468.00","456.25","35.05K","-1.39%"
"2019-2-27","461.00","460.25","467.75","458.25","15.76K","0.16%"
"2019-2-28","452.50","460.25","461.00","452.25","4.22K","-1.84%"
"2019-3-1","454.00","452.50","457.75","440.50","2.21K","0.33%"
"2019-3-4","446.75","454.75","454.75","446.00","0.88K","-1.60%"
"2019-3-5","454.25","446.00","454.25","445.75","0.33K","1.68%"
"2019-3-6","440.50","449.25","450.50","443.50","0.15K","-3.03%"
"2019-3-7","431.50","435.25","437.25","435.25","0.07K","-2.04%"
"2019-3-8","432.75","435.50","437.00","435.50","0.03K","0.29%"
"2019-3-11","422.25","430.25","430.25","427.75","0.03K","-2.43%"
"2019-3-12","446.25","424.00","443.00","424.00","0.02K","5.68%"
"2019-3-13","440.25","439.75","441.50","438.50","0.01K","-1.34%"
"2019-3-14","448.25","448.25","447.75","448.25","0.02K","1.82%"
"2019-3-15","462.25","452.50","463.00","448.50","67.72K","3.12%"
"2019-3-18","456.75","463.25","464.00","454.50","58.39K","-1.19%"
"2019-3-19","456.50","458.50","462.50","453.75","53.50K","-0.05%"
"2019-3-20","464.75","456.75","465.00","454.75","53.59K","1.81%"
"2019-3-21","466.50","464.50","467.50","458.00","62.81K","0.38%"
"2019-3-22","466.00","465.50","473.75","463.75","73.01K","-0.11%"
"2019-3-25","469.50","466.50","471.75","463.00","59.71K","0.75%"
"2019-3-26","469.25","470.00","478.00","467.00","83.74K","-0.05%"
"2019-3-27","469.50","470.00","471.75","466.50","61.16K","0.05%"
"2019-3-28","464.50","468.50","469.25","459.50","49.57K","-1.06%"
"2019-3-29","457.75","463.75","464.75","452.50","72.18K","-1.45%"
"2019-4-1","462.75","459.50","468.25","456.00","61.27K","1.09%"
"2019-4-2","464.00","463.50","465.75","456.00","48.16K","0.27%"
"2019-4-3","471.00","463.00","472.75","463.00","61.89K","1.51%"
"2019-4-4","470.75","471.00","477.50","468.00","70.27K","-0.05%"
"2019-4-5","467.75","469.00","469.50","464.25","89.21K","-0.64%"
"2019-4-8","465.25","467.25","471.00","461.75","83.29K","-0.53%"
"2019-4-9","459.50","462.00","462.50","456.25","89.06K","-1.24%"
"2019-4-10","458.00","459.00","461.75","455.50","65.28K","-0.33%"
"2019-4-11","460.50","457.00","462.50","456.75","78.54K","0.55%"
"2019-4-12","464.50","462.00","465.25","457.50","64.97K","0.87%"
"2019-4-15","459.50","463.75","464.00","457.75","79.73K","-1.08%"
"2019-4-16","445.00","458.75","460.25","442.25","90.38K","-3.16%"
"2019-4-17","447.00","446.50","450.00","444.75","42.63K","0.45%"
"2019-4-18","444.25","447.25","448.25","439.25","44.04K","-0.62%"
"2019-4-22","435.75","444.25","444.25","435.25","39.27K","-1.91%"
"2019-4-23","438.75","435.25","441.25","433.00","47.31K","0.69%"
"2019-4-24","432.25","438.00","439.50","429.75","37.32K","-1.48%"
"2019-4-25","434.75","430.75","437.50","428.25","37.53K","0.58%"
"2019-4-26","435.00","433.50","439.00","433.25","31.93K","0.06%"
"2019-4-29","426.75","436.25","439.75","425.00","31.18K","-1.90%"
"2019-4-30","418.50","424.00","426.00","416.25","5.05K","-1.93%"
"2019-5-1","425.00","420.00","426.50","419.50","0.85K","1.55%"
